id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
249485841,Centimeter VII,16.3415571,48.2174462,Währinger Gürtel,1,Wien,1180,restaurant,"Mo-Th 09:00-24:00; Fr,Sa 09:00-01:00; Su,PH 09:00-24:00"
249485842,Centimeter VI,16.328458,48.230999,Gersthofer Straße,51,Wien,1180,restaurant,"Mo-Th 09:00-24:00; Fr,Sa 09:00-01:00; Su,PH 09:00-24:00"
249884080,Adam's Kebab,16.3290178,48.2314688,,,,,fast_food,"Mo-Fr 09:00-22:00; PH,Sa,Su 10:00-22:00"
249884081,Diglas am Markt,16.3289347,48.2314924,Gersthofer Markt,7-11,Wien,1180,restaurant,Mo-Fr 18:00-18:00; Sa 08:00-12:00
249894264,Pizza Mann,16.3288166,48.2310657,Gersthofer Straße,2a,Wien,1180,fast_food,Mo-Su 11:00-00:00
250077138,Edelmann,16.3271549,48.2277883,Gersthofer Straße,21,Wien,1180,restaurant,
251208541,Nordsee,16.3443194,48.2264315,Währinger Straße,112,Wien,1180,fast_food,"Sa 09:00-15:00; Su,PH off; Mo-We 09:00-19:00; Th,Fr 08:00-19:00"
251523468,BioFrische,16.337033,48.228427,,,,,indian,Mo-Su 11:00-22:00
252466466,Wen's Nudeln,16.3427745,48.226475,Währinger Straße,105,Wien,1180,fast_food,"PH,Su-Fr 10:30-22:00"
252467398,Pasta e Basta,16.3310962,48.2301421,Gentzgasse,127,Wien,1180,restaurant,
252467399,Zum gemütlichen Weinhauser,16.3313954,48.2300056,Gentzgasse,125,Wien,1180,restaurant,"Mo 10:00-22:00, Th-Fr 10:00-22:00, Sa-Su 09:00-22:00"
256423371,Noodle King,16.3287882,48.2315387,,,,,fast_food,Mo-Fr 10:00-21:00; Sa 10:00-18:00
269542815,Cafe Stadtbahn,16.3285222,48.2304602,Gersthofer Straße,47,Wien,1180,pub,Mo-Su 19:00-02:00
280812411,Tandoori Junction,16.3407119,48.2212614,Antonigasse,9,Wien,1180,indian,"Tu-Fr 11:00-14:00, Mo-Fr 18:00-22:00, PH,Sa,Su 12:00-22:00"
280813671,TacoLand,16.3384442,48.2231092,,,,,restaurant,Mo-Su 10:30-21:30
288015983,Kutschker 44,16.3448727,48.2267385,Kutschkergasse,44,Wien,1180,restaurant,Tu-Sa 16:00-24:00
288015984,Ristorante Roma,16.3446263,48.2265954,Kutschkergasse,39,Wien,1180,italian,Mo-Su 11:30-23:00
288187563,Oberlaa,16.3449489,48.2262324,Währinger Straße,108,Wien,1180,cafe,Mo-Su 08:30-19:00
