id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
76515393,Korb,16.3707177,48.2100533,Tuchlauben,8,Wien,1010,cafe,Mo-Sa 08:00-24:00; PH 10:00-23:00; Su off
76518712,Palmenhaus,16.3667974,48.2050544,Burggarten,P,Wien,1010,breakfast;regional;international,"Mo-Fr 10:00-23:00; Sa, Su 09:00-23:00"
250601788,McDonald's,16.3620265,48.2133477,Universitätsring,12,Wien,1010,fast_food,"Mo-Th 06:00-01:30, Fr 06:00-05:00, Sa 07:00-05:00, Su 07:00-01:30; PH 07:00-01:30"
251361717,zum Kaiser,16.3706908,48.2040917,Krugerstraße,2,Wien,1010,fast_food,
267244783,Sing Your Song Karaoke,16.3638175,48.2025836,Eschenbachgasse,5,Wien,1010,pub,Mo-Th 20:00-02:00; Fr-Sa 20:00-04:00
269208762,Restaurant SURA,16.3743892,48.2070366,Nikolaigasse,2,Wien,1010,korean;japanese,Mo-Su 11:30-23:00
269208763,Zum Klimt,16.3743209,48.2069076,Singerstraße,20,Wien,1010,restaurant,
269208764,Cheng Chinese Cuisine,16.3741585,48.2071903,Singerstraße,11A,Wien,1010,chinese,Mo-Fr 11:00-21:00
269208773,McDonald's,16.372115,48.207716,Kärntner Straße,3,Wien,1010,fast_food,"Mo-Fr 00:00-02:00,07:00-24:00; Sa,Su 00:00-04:00,07:00-24:00"
269209053,Akakiko,16.3723403,48.2076731,Singerstraße,4,Wien,1010,fast_food,Mo-Su 11:00-22:30
269209054,aïda,16.3720208,48.2080149,Stock-im-Eisen-Platz,2,Wien,1010,cafe,Mo-Su 07:00-23:00
270066222,Vestibül,16.3612146,48.2098341,Josef-Meinrad-Platz,,Wien,1010,restaurant,
270066225,En,16.3702085,48.2148632,Werdertorgasse,6,Wien,1010,japanese,"Mo-Sa 11:30-14:30,17:30-22:30"
298713610,Gösser Bierklinik,16.3696039,48.2105229,Steindlgasse,4,Wien,1010,regional,Mo-Su 12:00-23:00
318297340,Café Bendl,16.3554887,48.2096822,Landesgerichtsstraße,6,Wien,1010,cafe,Mo-Th 08:00-02:00; Fr 08:00-04:00; Sa 18:00-04:00; Su 18:00-02:00
318859106,Türkis,16.3598474,48.2066908,Dr.-Karl-Renner-Ring,1,Wien,1010,fast_food,
319734659,Café Central,16.3653873,48.2103671,Freyung,2,Wien,1010,cafe,"Mo-Sa 08:00-21:00; PH,Su 10:00-21:00"
319735103,Café Hawelka,16.3698053,48.2079556,Graben,11,Wien,1010,cafe,
321595780,Flanagans,16.3736441,48.2031658,Fichtegasse,4,Wien,1010,pub,"Su-Th 10:00-02:00; Fr,Sa 10:00-04:00"
329464821,Billardcafe Köö,16.3737448,48.2126268,Salzgries,1,Wien,1010,cafe,"Mo-Th 10:00-02:00; Fr-Sa 10:00-04:00; Su,PH 12:00-02:00"
334390933,Bockshorn Irish Pub,16.3677,48.2098841,Naglergasse,7,Wien,1010,pub,
334634698,Toni's Café-Restaurant,16.3726243,48.2130932,Salzgries,6,Wien,1010,regional,Mo-Su 08:00-24:00
334634963,Fladerei Salzgries,16.3711353,48.213235,Salzgries,15,Wien,1010,fladen;bier;pita,Mo-Fr 11:00-02:00; Sa-Su 17:00-02:00
334636027,Noa,16.3732171,48.2132357,Gonzagagasse,3,Wien,1010,restaurant,
334641013,Pickwicks,16.3738138,48.2123002,Marc-Aurel-Straße,10-12,Wien,1010,pub,Mo-Th 11:00-24:00; Fr-Sa 11:00-02:00; Su 12:00-24:00
335448900,Subway,16.3681914,48.2023478,Operngasse,3,Wien,1010,fast_food,"Mo-Fr 08:45-23:00; Sa 09:30-23:00; Su,PH 09:45-23:00"
339910920,Café Landtmann,16.3614497,48.2115624,Oppolzergasse,6,Wien,1010,cafe,Mo-Su 07:30-24:00
343320228,Ma Creperie,16.3750772,48.207311,Nikolaigasse,3,Wien,1010,french,Mo-Fr 17:00-23:30; Sa-Su 11:00-23:30
345298530,Castelletto,16.3762952,48.2116935,Franz-Josefs-Kai,23,Wien,1010,cafe,Mo-Sa 07:00-24:00; Su 08:00-24:00; PH 08:00-24:00
349242464,Conditorei Sluka,16.3576889,48.2094529,Rathausplatz,8,Wien,1010,cafe,Mo-Fr 08:00-19:00;Sa 08:00-17:30;Su 10:00-17:30
353475248,Eissalon am Schwedenplatz,16.3773482,48.2113994,Franz-Josefs-Kai,17,Wien,1010,ice_cream,Mo-Su 10:00-23:15
356746043,Dick Mack's,16.3734523,48.2124198,Marc-Aurel-Straße,7,Wien,1010,pub,Mo-Su 20:00-04:00
359238262,Aera,16.3705505,48.2150091,Werdertorgasse,8,Wien,1010,regional,"Mo-Sa 10:00-01:00; Su, PH 10:00-24:00"
359238264,Le Wei,16.3721051,48.2148968,Rudolfsplatz,3,Wien,1010,asian,"Mo-Fr 11:30-14:30, 18:00-22:00; Sa 18:00-22:00; Su, PH 12:00-14:00, 18:00-22:00"
365859732,Gasthaus Reinthaler,16.3689909,48.2055529,Lobkowitzplatz,1,Wien,1010,regional,
365865111,Cafe-Restaurant Ronacher,16.3750866,48.2055994,Weihburggasse,22,Wien,1010,regional,Mo-Fr 11:30-15:00
365865114,Momoya Fusion,16.374915,48.2054661,Seilerstätte,16,Wien,1010,asian,
365865938,Wolfbauer,16.3746746,48.2043161,Schellinggasse,8,Wien,1010,cafe,Mo-Fr 06:00-17:00
367390337,Buxbaum Restaurant,16.3764341,48.2098925,Grashofgasse,3,Wien,1010,regional,Mo-Sa 10:00-23:00
367850770,Le Café,16.3780993,48.2101521,Drachengasse,1,Wien,1010,cafe,
370931244,Molly Darcy's,16.3632988,48.2117807,Teinfaltstraße,6,Wien,1010,pub,Mo-Th 11:00-02:00; Fr-Sa 11:00-03:00; PH Su 14:00-01:00
372498624,Gelateria Hoher Markt,16.372467,48.2108497,Hoher Markt,4,Wien,1010,ice_cream,Mo-Sa 08:30-23:30; Su 10:00-23:30
385285783,Ruby Lissi,16.3785463,48.2109469,Laurenzerberg,2,Wien,1010,bar,
394053172,Cafe Mozart,16.3694106,48.2042359,Maysedergasse,5,Wien,1010,cafe,Mo-Su 08:00-00:00
394941622,Caffè Delia's,16.3704114,48.2100861,Tuchlauben,8,Wien,1010,cafe,"Mo-Sa 08:00-24:00, Su 10:00-24:00"
394941625,Kurkonditorei Oberlaa,16.3707002,48.2067216,Seilergasse,15,Wien,1010,cafe,Mo-Su 08:00-20:00
394941626,Le Bol,16.3706192,48.2064965,Seilergasse,19,Wien,1010,french,"Mo-Sa 08:00-18:00+; PH,Su 09:00-18:00+"
410753771,Bogside Inn,16.356344,48.213427,Landesgerichtsstraße,18,Wien,1010,pub,Mo-Sa 17:00+
411757173,Beim Czaak,16.3787632,48.2098322,Postgasse,13,Wien,1010,restaurant,Mo-Sa 17:00-22:00
412862778,Jonathan und Sieglinde,16.3759964,48.2065833,Kumpfgasse,11,Wien,1010,restaurant,"Mo,Tu 09:00-15:00; We-Fr 09:00-23:00"
413128344,Gasthaus Stopfer,16.3722981,48.2145603,Rudolfsplatz,4,Wien,1010,austrian,Mo-Fr 11:00-23:00; PH off
415889061,Wok & More,16.369352,48.2011661,Karlsplatz,1,Wien,1010,asian,Mo-Su 11:30-22:00
415889385,Kostas,16.3678268,48.2013436,Friedrichstraße,6,Wien,1010,greek,Tu-Sa 11:30-22:30
418134093,Griechenbeisl,16.3772648,48.2107463,Hafnersteig,8,Wien,1010,regional,Mo-Su 12:00-23:00
418164969,McDonald's,16.3740532,48.2011836,Schwarzenbergplatz,16,Wien,1010,fast_food,"Mo-Th 07:00-01:00, Fr,Sa 07:00-05:00, Su,PH 08:00-01:00"
418164970,Falco's Vienna,16.375465,48.2005638,Lothringerstraße,7,Wien,1010,restaurant,Mo-Th 08:30-24:00; Fr-Sa 08:30-01:00; Su 08:30-24:00
419240555,Kaffee Alt Wien,16.3761236,48.2091716,Bäckerstraße,9,Wien,1010,cafe,"Mo-Su, PH 09:00-02:00, Dec 24 off"
425448602,Crêpe & Waffles paradise,16.363197,48.2033727,Babenbergerstraße,3,Wien,1010,cafe,Mo-Su 12:00-19:00
425488870,Le Couscous,16.3701878,48.2015146,Bösendorferstraße,3,Wien,1010,tunisian,
437164262,GO!Wien,16.3745687,48.2113888,Rotgasse,11,Wien,1010,restaurant,Mo-Su 11:30-23:15
437164275,En Wok,16.3776797,48.2103608,Wolfengasse,1,Wien,1010,asian,Mo-Sa 11:00-21:00
440396315,Cafe Diglas im Schottenstift,16.3639968,48.2126214,Freyung,6,Wien,1010,cafe,08:00-22:00
443503611,Zattl,16.3641447,48.2123301,Freyung,6,Wien,1010,austrian,11:00+
443503613,Fat Monk,16.363157,48.212878,Schottengasse,7,Wien,1010,restaurant,Mo-Fr 11:00-20:00; Sa 11:00-18:00
443503615,Zum Leupold / Kupferdachl,16.3630307,48.2129632,Schottengasse,7,Wien,1010,regional,
470324872,Da Capo,16.3763432,48.2078282,Kumpfgasse,1,Wien,1010,italian,Mo-Su 11:30-21:30
470325105,Zanoni & Zanoni,16.3742018,48.2099862,Rotenturmstraße,6,Wien,1010,ice_cream,Mo-Su 07:00-24:00
471037178,Pfudl,16.3782763,48.2082376,Postgasse,1-3,Wien,1010,local,10:00-24:00
471045128,Café Engländer,16.3786359,48.2080379,Postgasse,2,Wien,1010,cafe,"Mo-Sa 08:00-01:00; Su,PH 10:00-01:00"
478814056,Bristol Restaurant,16.370326,48.2028735,Mahlerstraße,4,Wien,1010,regional,
478814058,Ristorante San Carlo,16.3707734,48.2029897,Mahlerstraße,3,Wien,1010,italian,
478814062,Bodega El Gusto,16.3714695,48.2028356,Akademiestraße,2C,Wien,1010,spanish,
478814073,Ko:on,16.37113,48.203309,Walfischgasse,6,Wien,1010,fast_food,
478887917,L'Osteria del Collio,16.3739743,48.2054609,Himmelpfortgasse,17,Wien,1010,italian_pizza;italian,"Tu-Fr 12:00-14:00, Tu-Sa 18:00-22:00"
478887930,Frauenhuber,16.3722936,48.205727,Himmelpfortgasse,4,Wien,1010,cafe,"Mo-Sa 08:00-22:00; Su,PH 10:00-20:00"
478928080,Miznon,16.3747538,48.2083537,Schulerstraße,6,Wien,1010,jewish;israeli,Tu-Sa 12:00-23:00
479272277,Café Museum,16.3676093,48.2014066,Friedrichstraße,6,Wien,1010,cafe,08:00-24:00
497126272,Indien Village,16.3658763,48.2135155,Hohenstaufengasse,7,Wien,1010,indian,"Mo-Sa 11:30-14:30, 18:00-23:00"
499643069,Retsina,16.3734053,48.2131822,Gonzagagasse,3,Wien,1010,greek,10:30-23:30
526684626,Schwarzenberg,16.3739176,48.2018516,Schwarzenbergstraße,12,Wien,1010,cafe,"Mo-Fr 07:30-24:00; Sa,Su 08:30-24:00"
526684628,1516 Brewing Company,16.3730578,48.2033846,Schwarzenbergstraße,2,Wien,1010,international;austrian,Mo-Th 10:00-02:00; Fr 10:00-03:00; Sa 11:00-03:00; Su 11:00-02:00
526701250,In-Dish,16.3736429,48.2023482,Mahlerstraße,14,Wien,1010,indian,"Mo-Fr 11:00-14:30,17:00-22:00; Sa,Su 17:00-22:00"
530867124,Ludwig & Adele,16.3694869,48.2014299,Kärntner Straße,61,Wien,1010,austrian;regional,Mo-Sa 17:00-00:00; Su 17:00-23:00
530867127,Kleines Cafe,16.3743582,48.2065835,Franziskanerplatz,3,Wien,1010,cafe,
540677157,Vapiano,16.3663598,48.2094882,Wallnerstraße,5-7,Wien,1010,italian;pizza,"Mo-Sa 11:00-24:00; Su,PH 11:00-23:00"
549357083,Der Mann,16.3685078,48.2098939,Bognergasse,3,Wien,1010,restaurant,
549357084,aïda,16.3684339,48.2099319,Bognergasse,3,Wien,1010,cafe,Mo-Su 08:00-20:00
549357085,Zum Schwarzen Kameel,16.3683168,48.2099948,Bognergasse,5,Wien,1010,restaurant,"Tu-Sa 12:00-14:30,17:30-24:00"
564153820,Akakiko,16.3665573,48.2110519,Naglergasse,28,Wien,1010,japanese,"Mo-Su,PH 10:30-23:00"
566660659,Stadtcafé,16.3658272,48.2111943,Freyung,1,Wien,1010,cafe,"Mo-Sa 08:00-24:00, Su,PH 09:00-22:00"
566660717,Wrenkh,16.3726239,48.2098521,Bauernmarkt,10,Wien,1010,regional,Mo-Sa 11:00-22:00
566660740,Funky Monkey,16.3723092,48.212021,Sterngasse,11,Wien,1010,bar,Th 20:00-02:00;Fr-Sa 20:00-04:00
566660785,Re:Kiss,16.3732201,48.2123001,Marc-Aurel-Straße,5,Wien,1010,bar,
566991847,Pho Ben Thanh,16.3570914,48.2089495,Bartensteingasse,10,Wien,1010,vietnamese,
567053680,Restoration il Cavadduccio,16.3706407,48.2072337,Seilergasse,8,Wien,1010,restaurant,
567053686,lil'Italy,16.3714674,48.2071046,Kärntner Straße,8,Wien,1010,italian,
567059350,Reinthaler's Beisl,16.3699768,48.2080266,Graben,11,Wien,1010,regional,Mo-Su 11:00-23:00
567066325,Crossfield's,16.3695268,48.2042682,Maysedergasse,5,Wien,1010,pub,Mo-Th 10:00-01:00; Fr-Sa 10:00-02:00; Su 10:00-24:00
567066360,Café Bräunerhof,16.3686497,48.207204,Dorotheergasse,14,Wien,1010,cafe,"Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su,PH 10:00-18:00"
567070930,Le Bol,16.3670544,48.2105159,Naglergasse,21,Wien,1010,french,
567070957,Restaurant Bierhof,16.3673641,48.2101821,Haarhof,2,Wien,1010,regional,
567077591,Gustl Bauer,16.3689162,48.2114625,Drahtgasse,2,Wien,1010,regional,Tu-Sa 18:00-22:00
567084187,Neue Hoheit Brasserie,16.3694045,48.2098213,Tuchlauben,5,Wien,1010,restaurant,"Mo-Su 07:00-11:00, 12:00-24:00"
567084249,Kolar,16.369954,48.210611,Kleeblattgasse,5,Wien,1010,pita,"Mo-Th 11:00-24:00, Fr,Sa 11:00-01:00, Su,PH 13:00-24:00"
567084267,Eissalon Tuchlauben,16.3709044,48.2106007,Tuchlauben,17,Wien,1010,ice_cream,
567092894,Schachtelwirt,16.3735682,48.2114605,Judengasse,5,Wien,1010,fast_food,Mo-Sa 11:30-21:00; Su off
567096858,Salzbar,16.3738827,48.2119851,Salzgasse,8,Wien,1010,pub,Mo-Th 19:00-02:00; Fr-Sa 19:00-04:00; Su 19:00-02:00
567096861,Salzamt,16.3740647,48.2120808,Salzgasse,7,Wien,1010,restaurant,Mo-Su 17:00-02:00
567097850,Enrico Panigl nfg.,16.3781622,48.2093633,Schönlaterngasse,11,Wien,1010,pub,
567097871,Ristorante Rossini,16.3783241,48.2093644,Schönlaterngasse,13,Wien,1010,italian,
567104171,Chamäleon,16.3743609,48.2077601,Blutgasse,3,Wien,1010,swiss,Tu-Sa 11:00-22:00; Su 11:00-18:00
567332964,Steak Point,16.372125,48.2034196,Akademiestraße,2,Wien,1010,steak_house,Mo-Su 12:00-23:00
571786498,Heindls Schmarren & Palatschinkenkuchl,16.3759994,48.2102734,Grashofgasse,4,Wien,1010,pancake,10:00-24:00
581027412,Artner,16.3740748,48.2062943,Ballgasse,5,Wien,1010,fine_dining,
601411088,Café AS,16.3787678,48.2099753,Postgasse,15,Wien,1010,cafe,"Mo-Fr 12:00-23:00; Sa 15:00-23:00; Jul-Aug: 10:00-24:00; Su, PH off"
601411122,Happy Noodles,16.3778106,48.2115292,U-Bahn Station Schwedenplatz,,Wien,1010,fast_food,
601411472,Bermuda Bräu,16.375414,48.2116184,Rabensteig,6,Wien,1010,regional,"Mo-Th 15:00-24:00; Fr,Sa 15:00-01:00; Su,PH off"
601411477,"Krah, Krah",16.3754175,48.2117486,Franz-Josefs-Kai,27,Wien,1010,restaurant,Mo-Su 11:00-02:00
601412758,Nordsee,16.3738862,48.2097893,Rotenturmstraße,4,Wien,1010,fast_food,"Mo-Su,PH 09:00-23:00"
601412786,Starbucks,16.3760259,48.2113987,Griechengasse,2,Wien,1010,cafe,Su-We 07:00-21:30; Th 07:00-22:30; Fr 08:30-22:30; Sa 08:30-21:30
653112532,Anker,16.3781476,48.2112545,Laurenzerberg,5,Wien,1010,cafe,"Mo-Fr 05:00-19:00; PH,Sa,Su 05:00-19:00"
668640708,aïda,16.3676803,48.202479,Operngasse,10,Wien,1010,cafe,"Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su,PH 08:00-21:00"
679758039,Würstlstandl,16.3632757,48.2134073,Heßgasse,3-5,Wien,1010,fast_food,
687758947,Bodega Marques,16.3691274,48.211176,Schulhof,6,Wien,1010,spanish_tapas,Mo-Sa 17:00-01:00; Su 17:00-23:00
702781300,Würstel Kaiser,16.3602045,48.2067801,U-Bahn Station Volkstheater,,Wien,1010,fast_food,
839356635,La Scala,16.3638971,48.2027203,Eschenbachgasse,5,Wien,1010,italian,Mo-Sa 11:00-23:00
839473189,Diglas,16.3752673,48.2086459,Wollzeile,10,Wien,1010,cafe,Mo-Fr 08:00-22:30; Sa 09:00-22:30; PH off
844547954,Dea Food,16.3714784,48.216728,Eßlinggasse,20,Wien,1010,fast_food,
844548236,Dea Food,16.3714137,48.2167847,Franz-Josefs-Kai,55,Wien,1010,fast_food,
870980192,Fledermaus,16.3703219,48.2078615,Graben,10,Wien,1010,bar,
892215628,Burger King,16.3714657,48.2045392,Annagasse,3-3A,Wien,1010,fast_food,"Fr-Sa 10:00-23:00;Mo-Th,Su 10:00-22:00"
893028434,Hegelhof,16.3758028,48.2035189,Johannesgasse,16,Wien,1010,cafe,Tu-Sa 09:00-20:00
894087114,Sesch Besch,16.3731487,48.2032442,Schwarzenbergstraße,2,Wien,1010,oriental,"Su-Th 10:00-24:00; Fr,Sa 10:00-14:00"
894087120,Kotor,16.3759528,48.2032311,Fichtegasse,7,Wien,1010,cafe,
894087141,Sino 1,16.3732158,48.2031258,Schwarzenbergstraße,6,Wien,1010,fast_food,Mo-Fr 11:30-16:30
901058081,Huth Gastwirtschaft,16.3753527,48.2043469,Schellinggasse,5,Wien,1010,regional,Mo-Su 12:00-24:00
901058136,Paul und Anna,16.3749037,48.2042132,Schellinggasse,8,Wien,1010,breakfast;barbecue;burger,
901058189,Der Bettelstudent,16.3746548,48.2040112,Johannesgasse,12,Wien,1010,regional,Mo-Tu 11:00-24:00;We-Th 11:00-01:00;Fr-Sa 11:00-03:00;Su 11:00-24:00
