id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
260990967,Gasthaus Genuss,16.2832355,48.1974403,Hütteldorfer Straße,200,Wien,1140,restaurant,
288089459,Ju Xin Yuan,16.2129136,48.2088856,Josef-Palme-Platz,1,Wien,1140,chinese,
370523406,Kleines Schutzhaus Rosental,16.2698219,48.2103389,KLG Rosental,,Wien,1140,restaurant,08:00-18:00
452658942,Megiddo,16.3100744,48.2018145,Kuefsteingasse,40,Wien,1140,pub,
511103618,Würsteleck,16.2590111,48.1983047,Brudermanngasse,neben 16,Wien,1140,fast_food,Mo-Fr 11:00-21:00
512456917,Francesco,16.2569054,48.2018297,Linzer Straße,415,Wien,1140,italian,Mo-Su 11:30-23:00
541587670,Mon Ami,16.3117574,48.1967552,Märzstraße,132,Wien,1140,restaurant,"Mo-Sa 06:00-02:00, PH,Su 08:00-02:00"
560858180,Sunny,16.3169494,48.1992246,Hütteldorfer Straße,82,Wien,1140,asian,
568494734,Poky's Cafe,16.2554195,48.2027132,Linzer Straße,428,Wien,1140,cafe,Mo-Fr 09:00-19:00; Sa 10:00-15:00
623005426,L421,16.2553347,48.2022679,Linzer Straße,421,Wien,1140,asian,"Tu-Su 11:30-14:30,17:30-23:00"
672462987,McDonald's,16.3037126,48.1883539,Hadikgasse,62,Wien,1140,fast_food,"Tu,We 06:30-24:00; Mo 06:30-24:00; Th,Fr 06:30-01:00; Sa 08:00-01:00; Su 08:00-24:00"
719147734,Rise,16.3146582,48.1991625,Hütteldorfer Straße,90,Wien,1140,asian,Mo-Su 11:30-22:00
813542571,Futterboden,16.3131955,48.1936879,Flachgasse,5,Wien,1140,viennese;mediterranean,Mo-Su 11:00-20:00
1033377457,Pizzeria La Strada,16.302275,48.1982997,Leyserstraße,1,Wien,1140,mediterranean,"Tu-Su,PH 11:30-22:00"
1100703281,Das Hütteldorfer,16.2650736,48.2006615,Linzer Straße,361,Wien,1140,regional,Mo-Sa 10:00-24:00; Su 11:00-23:00
1236956603,Rabennest,16.2154995,48.2096949,Hauptstraße,108,Wien,1140,heuriger,"""Nur bei Reservierung geöffnet"""
1246877416,Napolitana,16.3059824,48.1951371,Missindorfstraße,13,Wien,1140,italian,Mo 16:00-23:00; Tu-Su 11:00-23:00
1546312206,Yume+,16.2571185,48.201433,Stockhammerngasse,32,Wien,1140,japanese,Mo-Su 11:30-23:00
