name,geometry,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
Centimeter VII,POINT (16.3415571 48.2174462),Währinger Gürtel,1,Wien,1180,restaurant,"Mo-Th 09:00-24:00; Fr,Sa 09:00-01:00; Su,PH 09:00-24:00"
Centimeter VI,POINT (16.328458 48.230999),Gersthofer Straße,51,Wien,1180,restaurant,"Mo-Th 09:00-24:00; Fr,Sa 09:00-01:00; Su,PH 09:00-24:00"
Adam's Kebab,POINT (16.3290178 48.2314688),Gentzgasse,,Wien,1180,fast_food,"Mo-Fr 09:00-22:00; PH,Sa,Su 10:00-22:00"
Diglas am Markt,POINT (16.3289347 48.2314924),Gersthofer Markt,7-11,Wien,1180,restaurant,Mo-Fr 18:00-18:00; Sa 08:00-12:00
Pizza Mann,POINT (16.3288166 48.2310657),Gersthofer Straße,2a,Wien,1180,fast_food,Mo-Su 11:00-00:00
Edelmann,POINT (16.3271549 48.2277883),Gersthofer Straße,21,Wien,1180,restaurant,
Nordsee,POINT (16.3443194 48.2264315),Währinger Straße,112,Wien,1180,fast_food,"Sa 09:00-15:00; Su,PH off; Mo-We 09:00-19:00; Th,Fr 08:00-19:00"
BioFrische,POINT (16.337033 48.228427),Lazaristengasse,2,Wien,1180,indian,Mo-Su 11:00-22:00
Wen's Nudeln,POINT (16.3427745 48.226475),Währinger Straße,105,Wien,1180,fast_food,"PH,Su-Fr 10:30-22:00"
Pasta e Basta,POINT (16.3310962 48.2301421),Gentzgasse,127,Wien,1180,restaurant,
Zum gemütlichen Weinhauser,POINT (16.3313954 48.2300056),Gentzgasse,125,Wien,1180,restaurant,"Mo 10:00-22:00, Th-Fr 10:00-22:00, Sa-Su 09:00-22:00"
Noodle King,POINT (16.3287882 48.2315387),Gentzgasse,,Wien,1180,fast_food,Mo-Fr 10:00-21:00; Sa 10:00-18:00
Cafe Stadtbahn,POINT (16.3285222 48.2304602),Gersthofer Straße,47,Wien,1180,pub,Mo-Su 19:00-02:00
Tandoori Junction,POINT (16.3407119 48.2212614),Antonigasse,9,Wien,1180,indian,"Tu-Fr 11:00-14:00, Mo-Fr 18:00-22:00, PH,Sa,Su 12:00-22:00"
TacoLand,POINT (16.3384442 48.2231092),Kreuzgasse,,Wien,1180,restaurant,Mo-Su 10:30-21:30
Kutschker 44,POINT (16.3448727 48.2267385),Kutschkergasse,44,Wien,1180,restaurant,Tu-Sa 16:00-24:00
Ristorante Roma,POINT (16.3446263 48.2265954),Kutschkergasse,39,Wien,1180,italian,Mo-Su 11:30-23:00
Oberlaa,POINT (16.3449489 48.2262324),Währinger Straße,108,Wien,1180,cafe,Mo-Su 08:30-19:00
Hoskar,POINT (16.3437619 48.2231652),Kutschkergasse,9,Wien,1180,syrian,Mo-Su 11:00-23:00
Trześniewski,POINT (16.3449832 48.226192),Währinger Straße,108,Wien,1180,fast_food,Mo-Fr 08:30-19:00; Sa 08:30-17:00; Jul-Aug Sa 08:30-14:00
Schopenhauer,POINT (16.3467208 48.2235831),Staudgasse,1,Wien,1180,cafe,Mo-Sa 08:00-00:00; Su 08:00-22:00
Wilde Ehe,POINT (16.3444371 48.2242345),Kutschkergasse,22,Wien,1180,pub,Mo-Th 16:00-24:00; Fr-Sa 16:00-02:00
Bao panda,POINT (16.3418217 48.2223506),Kreuzgasse,12,Wien,1180,asian,Su-Fr 10:30-22:00; Sa off
Cafe Mocca,POINT (16.3288835 48.2308783),Gersthofer Straße,2,Wien,1180,cafe,Mo-Su 08:00-01:00
Radatz,POINT (16.3456131 48.2258258),Währinger Straße,104,Wien,1180,fast_food,Mo-Fr 08:30-18:30; Sa 08:00-13:00
mikado - sushi style,POINT (16.3438958 48.2292511),Gymnasiumstraße,27,Wien,1180,japanese,"Su-Fr 11:30-15:00,17:30-22:30"
Anton Frank - cafe bar,POINT (16.3437056 48.2290642),Gymnasiumstraße,25,Wien,1180,pub,
Edelhof,POINT (16.3449277 48.2282579),Edelhofgasse,13,Wien,1180,regional,"Mo,We-Su 17:00-24:00, Tu off"
Bollyfood,POINT (16.3459566 48.2265267),Gentzgasse,23,Wien,1180,restaurant,
Wilder Mann,POINT (16.3465361 48.225465),Währinger Straße,85,Wien,1180,restaurant,Mo-Su 11:00-23:00
Piroschka,POINT (16.3218812 48.2376695),Gersthofer Straße,140/1,Wien,1180,hungarian,We-Sa 11:00-22:00;Su 11:00-16:00
Hanil Sushi,POINT (16.3443056 48.2293331),Gymnasiumstraße,25,Wien,1180,japanese,"Tu-Su, PH 11:00-15:00, 17:30-22:00"
Eissalon am Gürtel,POINT (16.341637 48.2176565),Währinger Gürtel,3,Wien,1180,cafe,
Herbeck,POINT (16.3173421 48.2326808),Scheibenbergstraße,11,Wien,1180,regional,Tu-Sa 11:30-23:00
Monte Rosa,POINT (16.3197237 48.232519),Herbeckstraße,78,Wien,1180,italian,"We-Su,PH 11:00-15:00; Tu-Su,PH 17:00-23:00"
Meister Xiao,POINT (16.3269911 48.2356125),Gersthofer Straße,70,Wien,1180,chinese,"Tu-Su 11:30-14:30,17:30-22:00"
Martins-Schlössl,POINT (16.3399485 48.2192176),Martinstraße,18,Wien,1180,restaurant,12:00-23:00
Himmelblau,POINT (16.3448062 48.2253802),Kutschkergasse,36,Wien,1180,cafe,
Eckmeck Feinkost Kebap,POINT (16.3423476 48.2212381),Antonigasse,,Wien,1180,fast_food,Mo-Su 09:00-22:00
Heurigen Restaurant Pötzleinsdorf,POINT (16.3072637 48.2433123),Pötzleinsdorfer Straße,97,Wien,1180,heuriger,"Mo-Fr 17:00-18:00+; Sa,Su,PH 12:00-18:00+"
Buffet Pötzleinsdorf,POINT (16.3092179 48.2412642),Geymüllergasse,,Wien,1180,fast_food,
Eis Cafe Brontolone,POINT (16.3394462 48.2254872),Schulgasse,,Wien,1180,cafe,"PH,Mo-Su 12:00-19:00"
Vin Restaurant,POINT (16.3369391 48.2278092),Währinger Straße,137,Wien,1180,vietnamese,Tu-Su 11:30-20:00
Blumencafé,POINT (16.3277453 48.2345019),Gersthofer Straße,30,Wien,1180,cafe,Mo-Fr 08:00-20:00; Sa-Su 09:00-19:00
Ur-knall,POINT (16.3305137 48.2257362),Antonigasse,,Wien,1170,bar,Mo-Fr 09:00-18:00; Sa 10:00-14:00
Tandoori Mirch Masala,POINT (16.3314861 48.2257155),Sommarugagasse,6,Wien,1180,indian,10:30-22:00
